Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-hzku,randomiser-fj1y,Question Key,Response
1,1571755060733,22/10/2019 14:37:40,1571755060584,1,22/10/2019 15:37:40,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,BEGIN QUESTIONNAIRE,
2,1571755150962,22/10/2019 14:39:10,1571755150858,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,eligibility,Yes
3,1571755151025,22/10/2019 14:39:11,1571755150860,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,eligibility-quantised,1
4,1571755151025,22/10/2019 14:39:11,1571755150860,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755151025,22/10/2019 14:39:11,1571755150860,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755151025,22/10/2019 14:39:11,1571755150860,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755151025,22/10/2019 14:39:11,1571755150860,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755151025,22/10/2019 14:39:11,1571755150861,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755151025,22/10/2019 14:39:11,1571755150861,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755151025,22/10/2019 14:39:11,1571755150861,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
