Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-hzku,Question Key,Response
1,1569494097213,26/09/2019 10:34:57,1569494094989,1,26/09/2019 11:34:54,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,BEGIN QUESTIONNAIRE,
2,1569494159868,26/09/2019 10:35:59,1569494157627,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,response-1,18
3,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,sex-quantised,2
4,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,sex-text,
5,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq1,1
6,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,sex,Female
7,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq2,4
8,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq2-quantised,4
9,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq3,2
10,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq3-quantised,2
11,1569494159963,26/09/2019 10:35:59,1569494157629,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq1-quantised,1
12,1569494159963,26/09/2019 10:35:59,1569494157630,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq4,4
13,1569494159963,26/09/2019 10:35:59,1569494157630,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq4-quantised,4
14,1569494159963,26/09/2019 10:35:59,1569494157630,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq5,4
15,1569494159963,26/09/2019 10:35:59,1569494157630,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq5-quantised,4
16,1569494159963,26/09/2019 10:35:59,1569494157630,1,26/09/2019 11:35:57,9842,4,questionnaire-nn9g,,3112846,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,All Questionnaires,2,eligible,pswq6,4
